GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Workspace Maven Plugin,network.ike.plugin.ws,GraphWorkspaceMojo,33,561,12,42,4,103,11,25,0,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchDraftMojo,392,659,51,63,90,147,41,28,3,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WorkspaceReport,98,178,24,20,26,49,18,14,1,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsVersionsUpgradePublishMojo.NodeOutcome,12,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,IdeProfileSync,200,189,33,33,58,37,21,17,2,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchPublishMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,AbstractWorkspaceMojo,239,247,31,15,61,58,22,26,3,22
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartSupport,375,670,45,65,72,149,38,25,0,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,RefreshMainSupport.UpToDate,6,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsLintMojo,120,0,4,0,27,0,4,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCascadeFoundationPublishMojo,842,225,84,22,176,48,55,15,9,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignDraftMojo.ComponentVersion,9,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,SubprojectSnapshot,0,21,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,VerifyConvergenceMojo,532,345,62,20,122,70,39,8,1,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsHelpMojo,354,0,36,0,73,0,26,0,8,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartPublishMojo,49,0,0,0,15,0,3,0,3,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo,234,1135,35,97,54,222,30,43,0,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo.BranchRow,0,15,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSetParentDraftMojo.ParentChange,15,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomParentSupport,23,39,1,5,7,10,3,5,2,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,CommitMojo,441,123,53,15,104,29,31,10,3,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsScaffoldUpgradeDraftMojo.GitignoreSection,0,15,0,0,0,3,0,2,0,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsScaffoldUpgradePublishMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,PullWorkspaceMojo,203,0,8,0,48,0,6,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsGoal,14,569,3,5,4,71,4,11,1,10
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReactorWalker.ReactorScan,0,9,0,0,0,3,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,RefreshMainSupport.AutoResolved,12,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishSupport,643,840,94,70,151,175,64,38,3,17
IKE Workspace Maven Plugin,network.ike.plugin.ws,CommitMojo.CommitOutcome,48,0,0,0,5,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsVersionsUpgradeDraftMojo,794,0,78,0,167,0,56,0,14,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishMergeDraftMojo,184,550,39,39,35,114,34,10,0,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseStatusMojo,135,444,22,27,27,91,17,19,0,10
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlanCompute,39,520,18,74,8,115,17,33,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCreateMojo,881,489,43,9,170,98,33,5,7,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCheckpointDraftMojo.CheckpointReportContext,0,42,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignPublishMojo,14,0,0,0,5,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlan.ReferenceKind,0,21,0,0,0,4,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseDraftMojo.ReleaseCandidate,0,18,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlan.ReferenceSite,0,15,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsScaffoldUpgradeDraftMojo,1198,372,149,41,274,63,87,25,12,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,Ansi,0,12,0,0,0,4,0,4,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReconcileBranchesPublishMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReportMojo,123,0,14,0,31,0,13,0,6,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo.DerivedDep,0,9,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSyncMojo,142,0,14,0,33,0,9,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo,1767,786,237,111,387,201,154,58,19,19
